범죄, 범죄, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014,
범죄, 범죄, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계,
범죄, 범죄, 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계),
범죄, 범죄, 남자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 미상, 여자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 월경시이상, 미상, 남자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 미상, 여자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 월경시이상, 미상, 남자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 미상, 여자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 월경시이상, 미상, 남자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 미상, 여자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 월경시이상, 미상
지능범죄, 배임, 6363, 6362, 0, 0, 0, 1, , 1497, 1497, 0, 0, 0, 0, 0, , 6067, 2210, 0, 1, 1, 3, 3852, 1443, 479, 1, 0, 0, 0, 0, 963, 6833, 2504, 1, 0, 0, 2, 4326, 1592, 545, 1, 1, 0, 0, 0, 1045, 7717, 3314, 0, 0, 0, 1, 4402, 1644, 585, 0, 0, 0, 2, 0, 1057,
풍속범죄, 풍속범죄(소계), 50663, 48341, 36, 12, 44, 2230, , 10720, 10550, 1, 1, 4, 162, 2, , 42053, 36718, 32, 6, 63, 2363, 2871, 8852, 7162, 1, 0, 3, 145, 0, 1541, 40644, 34935, 26, 19, 87, 2554, 3023, 7370, 5845, 4, 1, 3, 140, 0, 1377, 34679, 29365, 32, 27, 100, 2590, 2565, 7015, 5348, 1, 1, 2, 137, 0, 1526,
풍속범죄, 성풍속범죄, 13041, 12559, 18, 10, 37, 417, , 2168, 2116, 0, 1, 4, 46, 1, , 13794, 11445, 21, 6, 53, 602, 1667, 2527, 1385, 0, 0, 3, 44, 0, 1095, 16280, 13447, 23, 19, 84, 793, 1914, 2408, 1321, 2, 1, 3, 56, 0, 1025, 11703, 8946, 26, 26, 95, 1029, 1581, 2242, 1109, 1, 1, 0, 50, 0, 1081,
풍속범죄, 도박범죄, 37622, 35782, 18, 2, 7, 1813, , 8552, 8434, 1, 0, 0, 116, 1, , 28259, 25273, 11, 0, 10, 1761, 1204, 6325, 5777, 1, 0, 0, 101, 0, 446, 24364, 21488, 3, 0, 3, 1761, 1109, 4962, 4524, 2, 0, 0, 84, 0, 352, 22976, 20419, 6, 1, 5, 1561, 984, 4773, 4239, 0, 0, 2, 87, 0, 445,
특별경제범죄, , 70042, 62773, 51, 16, 72, 7130, , 21580, 20974, 20, 0, 23, 558, 5, , 71575, 40222, 55, 19, 73, 9736, 21470, 21852, 12813, 29, 3, 45, 744, 2, 8216, 64894, 32758, 34, 13, 97, 10089, 21903, 18414, 9502, 25, 6, 37, 795, 1, 8048, 68083, 35990, 70, 11, 100, 10988, 20924, 19565, 10965, 53, 6, 50, 868, 0, 7623,
마약범죄, , 4344, 4159, 21, 1, 106, 57, , 1065, 1028, 3, 0, 16, 18, 0, , 3847, 3330, 39, 1, 55, 57, 365, 884, 800, 7, 0, 11, 8, 0, 58, 4114, 3589, 31, 13, 60, 63, 358, 935, 850, 8, 2, 14, 7, 0, 54, 4361, 3731, 65, 15, 67, 62, 421, 903, 799, 4, 2, 12, 9, 0, 77,
보건범죄, , 8692, 8614, 3, 0, 5, 70, , 11753, 11614, 6, 1, 3, 125, 4, , 9064, 7844, 3, 0, 4, 57, 1156, 10467, 9260, 5, 0, 2, 145, 0, 1055, 11991, 10572, 4, 2, 2, 87, 1324, 11055, 9839, 1, 0, 3, 111, 0, 1101, 11582, 10093, 3, 0, 5, 155, 1326, 10503, 9179, 0, 0, 1, 97, 0, 1226,
환경범죄, , 2888, 2877, 5, 0, 4, 2, , 225, 223, 1, 0, 1, 0, 0, , 2919, 2538, 4, 0, 2, 8, 367, 328, 236, 0, 0, 0, 3, 0, 89, 3279, 2909, 1, 1, 1, 7, 360, 309, 252, 1, 0, 0, 0, 0, 56, 2756, 2420, 1, 0, 3, 1, 331, 380, 307, 0, 0, 1, 2, 0, 70,
교통범죄, , 456999, 236718, 380, 21, 163, 219717, , 67351, 44116, 34, 1, 20, 23176, 4, , 443054, 134040, 142, 19, 190, 212539, 96124, 69022, 22629, 19, 0, 30, 22872, 1, 23471, 463947, 132002, 60, 14, 189, 231357, 100325, 72809, 21903, 11, 1, 29, 25613, 1, 25251, 456358, 129957, 48, 12, 172, 215935, 110234, 76768, 23254, 4, 2, 26, 24563, 1, 28918,
노동범죄, , 1958, 1956, 0, 0, 0, 2, , 683, 683, 0, 0, 0, 0, 0, , 1788, 1615, 3, 0, 0, 4, 166, 590, 545, 0, 0, 1, 0, 0, 44, 1645, 1471, 1, 0, 1, 4, 168, 664, 613, 0, 0, 0, 0, 0, 51, 1579, 1365, 0, 0, 0, 2, 212, 552, 488, 0, 0, 0, 1, 0, 63,
안보범죄, , 145, 139, 0, 0, 1, 5, , 15, 15, 0, 0, 0, 0, 0, , 115, 94, 0, 0, 0, 5, 16, 11, 9, 0, 0, 0, 0, 0, 2, 123, 97, 0, 0, 0, 3, 23, 29, 23, 0, 0, 0, 0, 0, 6, 75, 51, 0, 0, 2, 1, 21, 15, 10, 0, 0, 0, 0, 0, 5,
선거범죄, , 297, 289, 1, 0, 2, 5, , 103, 100, 1, 0, 0, 2, 0, , 1500, 1072, 2, 0, 2, 47, 377, 355, 294, 1, 0, 2, 0, 0, 58, 323, 245, 1, 0, 3, 6, 68, 86, 67, 0, 0, 1, 0, 0, 18, 2268, 1555, 1, 0, 0, 46, 666, 532, 423, 1, 0, 0, 2, 0, 106,
병역범죄, , 22582, 22549, 8, 4, 17, 4, , 170, 169, 0, 0, 1, 0, 0, , 18225, 16957, 25, 2, 15, 5, 1221, 134, 129, 0, 0, 2, 0, 0, 3, 22931, 21080, 10, 1, 27, 8, 1805, 269, 253, 0, 0, 0, 0, 0, 16, 18390, 17541, 6, 0, 28, 9, 806, 133, 121, 0, 0, 0, 0, 0, 12,
기타범죄, , 165436, 145708, 205, 30, 289, 19204, , 59345, 57928, 61, 11, 81, 1248, 16, , 151897, 101622, 172, 34, 288, 18885, 30896, 56535, 42184, 60, 4, 109, 1514, 9, 12655, 156985, 102793, 174, 37, 299, 20298, 33384, 56539, 41181, 64, 11, 96, 1694, 2, 13491, 168523, 108739, 162, 31, 303, 23234, 36054, 62331, 44279, 85, 14, 128, 2050, 1, 15774, 
